Sexo;Titulación;Ocupación en el primer empleo;Total
Ambos sexos;TOTAL;Total;59.146
Ambos sexos;TOTAL;Directores y gerentes;1.842
Ambos sexos;TOTAL;Técnicos y profesionales científicos e intelectuales;34.138
Ambos sexos;TOTAL;Técnicos profesionales de apoyo;8.382
Ambos sexos;TOTAL;Empleados contables, administrativos y otros empleados de oficina;5.542
Ambos sexos;TOTAL;Trabajadores de los servicios de restauración, personales, protección y vendedores;6.445
Ambos sexos;TOTAL;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;99
Ambos sexos;TOTAL;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);384
Ambos sexos;TOTAL;Operadores de instalaciones y maquinaria, y montadores;279
Ambos sexos;TOTAL;Ocupaciones elementales;1.814
Ambos sexos;TOTAL;Ocupaciones militares;149
Ambos sexos;TOTAL;No consta;71
Ambos sexos;01 - EDUCACIÓN;Total;16.327
Ambos sexos;01 - EDUCACIÓN;Directores y gerentes;187
Ambos sexos;01 - EDUCACIÓN;Técnicos y profesionales científicos e intelectuales;10.025
Ambos sexos;01 - EDUCACIÓN;Técnicos profesionales de apoyo;2.031
Ambos sexos;01 - EDUCACIÓN;Empleados contables, administrativos y otros empleados de oficina;1.169
Ambos sexos;01 - EDUCACIÓN;Trabajadores de los servicios de restauración, personales, protección y vendedores;2.136
Ambos sexos;01 - EDUCACIÓN;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;22
Ambos sexos;01 - EDUCACIÓN;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);74
Ambos sexos;01 - EDUCACIÓN;Operadores de instalaciones y maquinaria, y montadores;67
Ambos sexos;01 - EDUCACIÓN;Ocupaciones elementales;583
Ambos sexos;01 - EDUCACIÓN;Ocupaciones militares;21
Ambos sexos;01 - EDUCACIÓN;No consta;12
Ambos sexos;Ciencias de la Educación;Total;1.701
Ambos sexos;Ciencias de la Educación;Directores y gerentes;7
Ambos sexos;Ciencias de la Educación;Técnicos y profesionales científicos e intelectuales;1.196
Ambos sexos;Ciencias de la Educación;Técnicos profesionales de apoyo;204
Ambos sexos;Ciencias de la Educación;Empleados contables, administrativos y otros empleados de oficina;67
Ambos sexos;Ciencias de la Educación;Trabajadores de los servicios de restauración, personales, protección y vendedores;166
Ambos sexos;Ciencias de la Educación;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;0
Ambos sexos;Ciencias de la Educación;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);0
Ambos sexos;Ciencias de la Educación;Operadores de instalaciones y maquinaria, y montadores;9
Ambos sexos;Ciencias de la Educación;Ocupaciones elementales;53
Ambos sexos;Ciencias de la Educación;Ocupaciones militares;0
Ambos sexos;Ciencias de la Educación;No consta;0
Ambos sexos;Formación de docentes de enseñanza primaria;Total;265
Ambos sexos;Formación de docentes de enseñanza primaria;Directores y gerentes;0
Ambos sexos;Formación de docentes de enseñanza primaria;Técnicos y profesionales científicos e intelectuales;156
Ambos sexos;Formación de docentes de enseñanza primaria;Técnicos profesionales de apoyo;34
