Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Physical Attack;12/30/2013;11:00;1/1/2014;8:00;Arizona Public Service Co;North of Roosevelt lake Arizona;Unknown;Unknown;vandalism, physical
Load Shed;1/10/2012;21:30;1/10/2012;21:30;Luminant Energy Company LLC;Rusk County, Texas;Unknown;Unknown;load shedding
Electrical Fault at Generator;1/11/2011;23:08;1/11/2011;23:08;New Athens Generating Co. LLC;Athens, New York;0;0;equipment failure
Suspected Physical Attack;1/11/2012;7:19;1/11/2012;9:07;Nevada Power Company (NV Energy);Nevada;0;0;vandalism, physical
Load Shed;1/9/2012;13:36;1/11/2012;1:05;The Dow Chemical Company;Louisiana;150;1;load shedding
Winter Storm;1/12/2011;6:00;1/12/2011;14:00;National Grid;Massachusetts;Unknown;80000;severe weather, winter storm
Physical Attack;1/12/2012;8:26;1/12/2012;8:26;Delmarva Power & Light Company;Newark, Delaware;0;0;vandalism, physical
Firm System Load Shed;1/13/2011;7:21;1/13/2011;8:13;JEA;North Florida;150;20900;load shedding
Physical Attack;1/13/2012;9:20;1/13/2012;9:20;Delmarva Power & Light Company;Newark, Delaware;0;0;vandalism, physical
Physical Attack - Vandalism;1/13/2014;16:44;1/13/2014;16:45;Arizona Public Service Co;Arizona;Unknown;Unknown;vandalism, physical
Vandalism;1/15/2012;9:35;1/15/2012;9:35;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism
Physical Attack - Vandalism;1/15/2014;14:32;1/15/2014;14:45;PacifiCorp;Utah;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;1/16/2013;16:45;1/16/2013;19:26;Public Service Company of New Mexico;San Juan County, New Mexico;0;0;vandalism, physical
Physcial Attack - Vandalism;1/16/2013;14:25;1/16/2013;14:25;Delmarva Power & Light Company;Denton, Maryland;Unknown;Unknown;vandalism, physical
Physical Attack, Vandalism;1/16/2014;12:30;1/16/2014;13:57;Arizona Public Service Co;Arizona;Unknown;Unknown;vandalism, physical
Suspected Cyber Attack;1/17/2012;10:31;1/17/2012;17:21;Pedernales Electric Cooperative, Inc.;Austin, Texas;Unknown;0;vandalism, cyber
Distribution Interruption;1/17/2013;20:35;1/17/2013;21:20;North Carolina Eastern M P A;Elizabeth City, North Carolina;40;12000;distribution interruption
Physical Attack;1/16/2013;7:41;1/17/2013;10:58;MidAmerican Energy Co;Webster County, Iowa;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;1/17/2014;0:20;1/17/2014;0:20;Dayton Power & Light Co;Ohio;Unknown;Unknown;vandalism, physical
Vandalism;1/18/2011;14:00;1/18/2011;14:00;National Grid;Whitman, Auburn St Substation, Massachusetts;0;0;vandalism
Public Appeal to Reduce Electricity Usage;1/18/2014;9:00;1/18/2014;9:45;ERCOT;Texas;Unknown;Unknown;public appeal
Severe Weather - Winter Storm;1/17/2013;19:02;1/19/2013;18:00;Tennessee Valley Authority;Northeast Tennessee;Unknown;80000;severe weather, winter storm
Severe Weather - Winter Storm;1/19/2012;7:00;1/20/2012;15:00;Puget Sound Energy;King, Pierce and Thurston Counties, Washington;1600;426000;severe weather, winter storm
Severe Weather - Winter Storm;1/17/2013;18:07;1/20/2013;19:30;American Electric Power (AEP);Southwest Virginia, Southern West Virginia;Unknown;127000;severe weather, winter storm
Physical Attack - Vandalism;1/21/2014;0:14;1/21/2014;0:39;Ameren Missouri;Missouri;10;Unknown;vandalism, physical
Physical Attack - Vandalism;1/22/2014;9:45;1/22/2014;20:19;Duke Energy Midwest;Ohio;Unknown;Unknown;vandalism, physical
Physical Attack - Vandalism;1/22/2014;13:55;1/22/2014;14:55;Madison Gas and Electric;Wisconsin;Unknown;Unknown;vandalism, physical
